accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.5351080298423767,0.5252394676208496,1.9777076244354248,0.7947530746459961,0.5,14.789606094360352
0.3576388955116272,0.5329394936561584,0.7286429405212402,0.7947530746459961,0.5,4.545392036437988
0.2743055522441864,0.5313631296157837,0.6873345971107483,0.7947530746459961,0.4797576665878296,0.8511597514152527
0.28240740299224854,0.5382632613182068,0.7133452296257019,0.7777777910232544,0.6104241013526917,0.6184555888175964
0.6022376418113708,0.525947630405426,0.6889777779579163,0.7268518805503845,0.5351266264915466,0.6938352584838867
0.5216049551963806,0.5184383988380432,0.6868736743927002,0.7947530746459961,0.4652383327484131,1.7360918521881104
0.7962962985038757,0.510624885559082,0.6880882382392883,0.5092592835426331,0.4671071171760559,0.739844024181366
0.7156635522842407,0.5304410457611084,0.6893410682678223,0.2191358059644699,0.45230311155319214,0.7938069701194763
0.7719907164573669,0.525586724281311,0.6986961364746094,0.7947530746459961,0.4637492001056671,0.6119197607040405
0.7770061492919922,0.5134152173995972,0.6859618425369263,0.7716049551963806,0.6661508679389954,0.7669684290885925
0.7800925970077515,0.5103602409362793,0.6972676515579224,0.7623456716537476,0.625950813293457,0.6478257775306702
0.7893518805503845,0.5087506771087646,0.6900815367698669,0.7854938507080078,0.5007664561271667,0.6896762847900391
0.7939814925193787,0.5023984909057617,0.7021629214286804,0.7669752836227417,0.5107088088989258,0.6791365742683411
0.7851080298423767,0.5131346583366394,0.6924208998680115,0.584876537322998,0.5708518624305725,0.8448702096939087
0.7870370149612427,0.5167425870895386,0.6887805461883545,0.7469135522842407,0.49924811720848083,0.7493612766265869
