accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.7443749904632568,0.8220099806785583,0.5554682612419128,0.5149999856948853,0.7321648001670837,0.6778938174247742,0.0010000000474974513
0.7768750190734863,0.853564977645874,0.4996994733810425,0.7749999761581421,0.8583714962005615,0.560209333896637,0.0010000000474974513
0.7975000143051147,0.8736925721168518,0.45808449387550354,0.7674999833106995,0.8628350496292114,0.4974231421947479,0.0010000000474974513
0.8118749856948853,0.8791512250900269,0.4502284526824951,0.7475000023841858,0.865280032157898,0.510568380355835,0.0010000000474974513
0.8287500143051147,0.8967704772949219,0.40995559096336365,0.6924999952316284,0.893377423286438,0.6045072674751282,0.0010000000474974513
0.8393750190734863,0.9115011692047119,0.3815167546272278,0.800000011920929,0.9037588834762573,0.4251502752304077,0.0010000000474974513
0.8356249928474426,0.910312831401825,0.3810395896434784,0.7925000190734863,0.9121843576431274,0.4334012269973755,0.0010000000474974513
0.8512499928474426,0.916803777217865,0.36584773659706116,0.8100000023841858,0.9065423011779785,0.4430541694164276,0.0010000000474974513
0.8418750166893005,0.9170953631401062,0.367644727230072,0.8100000023841858,0.9058275818824768,0.45970478653907776,0.0010000000474974513
0.8518750071525574,0.9261103868484497,0.3475203812122345,0.8450000286102295,0.9129366278648376,0.4193636178970337,0.0010000000474974513
0.8575000166893005,0.9257090091705322,0.3475317656993866,0.8475000262260437,0.9145790934562683,0.3806837499141693,0.0010000000474974513
0.8618749976158142,0.9352993965148926,0.32406216859817505,0.7925000190734863,0.9225031137466431,0.4286157488822937,0.0010000000474974513
0.8799999952316284,0.9448599219322205,0.3006318211555481,0.8374999761581421,0.9190049767494202,0.36702221632003784,0.0010000000474974513
0.8731250166893005,0.9461132884025574,0.2949998676776886,0.8199999928474426,0.9122847318649292,0.4422873556613922,0.0010000000474974513
0.8756250143051147,0.9416319727897644,0.3064742386341095,0.8324999809265137,0.9145915508270264,0.47790732979774475,0.0010000000474974513
0.8799999952316284,0.9487202763557434,0.287532240152359,0.7325000166893005,0.9166227579116821,0.5532197952270508,0.0010000000474974513
0.887499988079071,0.9580848813056946,0.26201435923576355,0.8424999713897705,0.9175381064414978,0.43367376923561096,0.0010000000474974513
0.887499988079071,0.9571802616119385,0.2638925611972809,0.7250000238418579,0.8557887077331543,0.5381776690483093,0.0010000000474974513
0.9068750143051147,0.9662376046180725,0.23669132590293884,0.8100000023841858,0.9025050401687622,0.41580477356910706,0.0005000000237487257
0.9212499856948853,0.9761233329772949,0.1995014250278473,0.8299999833106995,0.902956485748291,0.42651426792144775,0.0005000000237487257
0.9225000143051147,0.9780461192131042,0.18957845866680145,0.8324999809265137,0.9117705821990967,0.4224221110343933,0.0005000000237487257
0.9256250262260437,0.9814779162406921,0.1783469170331955,0.8299999833106995,0.9141653180122375,0.4481936991214752,0.0005000000237487257
