accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.6995798349380493,0.7552874088287354,0.6637129783630371,0.7300000190734863,0.8143861293792725,0.6821755170822144,0.0010000000474974513
0.7920168042182922,0.8585286736488342,0.4883940517902374,0.6399999856948853,0.7387349605560303,0.6733404397964478,0.0010000000474974513
0.8004201650619507,0.8747439980506897,0.4627316892147064,0.5799999833106995,0.6630839705467224,0.6776044964790344,0.0010000000474974513
0.8298319578170776,0.9144921898841858,0.3766781985759735,0.5899999737739563,0.7060768604278564,0.6710017323493958,0.0010000000474974513
0.831932783126831,0.9031494855880737,0.3988688588142395,0.5299999713897705,0.6482017040252686,0.6695696115493774,0.0010000000474974513
0.8571428656578064,0.9437628388404846,0.30070364475250244,0.6200000047683716,0.6746589541435242,0.6460827589035034,0.0010000000474974513
0.8781512379646301,0.9469404816627502,0.29629215598106384,0.49000000953674316,0.6541959643363953,0.6806151866912842,0.0010000000474974513
0.8655462265014648,0.9420415163040161,0.31006908416748047,0.6700000166893005,0.7236461043357849,0.6234456896781921,0.0010000000474974513
0.894957959651947,0.9576653838157654,0.26500535011291504,0.4699999988079071,0.6901612281799316,0.8018672466278076,0.0010000000474974513
0.8781512379646301,0.9556175470352173,0.2665025293827057,0.46000000834465027,0.6796196699142456,0.90008944272995,0.0010000000474974513
0.8802521228790283,0.9582833051681519,0.26077738404273987,0.5099999904632568,0.6953286528587341,0.7694081664085388,0.0010000000474974513
