,accuracy,auc
Logistic Regression,0.7199714183637014,0.7820592299061653
Random Forest,0.7097534833869239,0.7675987972141894
XGBoost,0.725687745623437,0.7878283718364185
Gradient Boosting,0.7266881028938906,0.7940020783010818
