feature,mean_abs_shap
systolic_bp,0.11163336220775164
pulse_pressure,0.05090314794151877
diastolic_bp,0.04947806024464405
age,0.04747620903248157
cholesterol,0.03861714355335135
bmi,0.016025274399249338
weight_kg,0.010453754855491847
physical_activity,0.007557260677416823
glucose,0.00420090163139845
smoking,0.002934909458572382
height_cm,0.002551119512878785
gender,0.0019477364205684477
alcohol,0.0016942784820289222
